Date,Stage,Probability,Recommended Materials
2023-09-29,1st Floor slab casting,0.9999998937742521,"TMT bar ,cement, sand, aggregates ,Pvc pipes,circuit pipes,lightbox, fan box"
2023-09-30,1st Floor slab casting,0.9999998937742521,"TMT bar ,cement, sand, aggregates ,Pvc pipes,circuit pipes,lightbox, fan box"
2023-10-31,2nd Floor slab casting,0.9999997374346731,"TMT bar ,cement, sand, aggregates,Pvc pipes,circuit pipes,lightbox, fan box"
2023-11-30,"Electrical concealed, PVC Fitting, plastering at Basement",0.9999819613603336,"cement, sand, circuit pipe, Cpvc,&Pvc pipe"
2023-12-31,3rd Floor slab casting,0.9999971229687163,"TMT bar ,cement, sand, aggregates"
2024-01-31,4th floor Columns casting ,0.9999596547490248,"TMT bar ,cement, sand, aggregates "
2024-02-29,Brick work of 2nd to 4th Floor ,0.9999997698353037, blocks/bricks
2024-03-31,"Electrical concealed, PVC Fitting, plastering at 1st-4th floor",0.9999995263416789,"cement, sand,  circuit pipe, Cpvc,&Pvc pipe"
2024-04-30,"Electrical concealed, PVC Fitting, plastering at 1st-4th floor",0.9999994650218308,"cement, sand,  circuit pipe, Cpvc,&Pvc pipe"
2024-05-31,Plastering on outer sides,0.9999856341782745,"cement, sand"
2024-06-30,Tiles work,0.999820207426858,Tiles
2024-07-31,Painting and Finishing,0.9999945235370687,"paint, putty,primer"
2024-08-31,Painting and Finishing,0.9999962419107271,"paint, putty,primer"
2024-09-30,"Plumbing & Sanitary,Electrification Works",0.9999986510413081,"Wire, switch, nozzle Bib cock, shower, kitchen accessories, lights, fans, sheets, basin, sink, etc."
2024-10-31,Doors & Windows Fixing Furniture work,0.9999642002367838,"Furniture, hardware, glass"
2024-11-30,Doors & Windows Fixing Furniture work,0.9999642002367838,"Furniture, hardware, glass"
